,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
300,Nhà,Cần bán,Bình Dương,Huyện Bàu Bàng,Xã Trừ Văn Thố,"d 24, Xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương","1,35 tỷ",10/05/2021,150m²,,,5,5,Giấy tờ khác,Đăng nhập để xem,
301,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Đa Phước,"quốc Lộ 50, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","1,85 tỷ",10/05/2021,80m²,,,2,2,Đã có sổ,Đăng nhập để xem,
302,Đất,Cần bán,Đồng Nai,Huyện Vĩnh Cửu,Xã Phú Lý,"chưa có, Xã Phú Lý, Huyện Vĩnh Cửu, Đồng Nai",15 tỷ,10/05/2021,50.000m²,,,,,Đã có sổ,Đăng nhập để xem,
303,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 10,"Âu Cơ, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",13 triệu/tháng,10/05/2021,60m²,,,4,3,,Đăng nhập để xem,
304,"Căn hộ, Chung cư",Cần bán,Đà Nẵng,Quận Sơn Trà,Phường Phước Mỹ,"120-122 võ nguyên giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng","2,8 tỷ",10/05/2021,58m²,Tây Nam,,1,1,Đang chờ sổ,Đăng nhập để xem,
305,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh","15,5 triệu/tháng",10/05/2021,56m²,Bắc,1,2,2,Đã có sổ,Đăng nhập để xem,
306,Đất,Cần bán,Tiền Giang,Huyện Gò Công Tây,Xã Bình Nhì,"ấp bình hoà đông, Xã Bình Nhì, Huyện Gò Công Tây, Tiền Giang",500 triệu,10/05/2021,146m²,,,,,Đã có sổ,Đăng nhập để xem,
307,Nhà,Cần bán,Hà Nội,Quận Hai Bà Trưng,Phường Bạch Mai,"Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","2,38 tỷ",10/05/2021,28m²,,,3,4,Đã có sổ,Đăng nhập để xem,
308,Đất,Cần bán,An Giang,Thành phố Long Xuyên,Phường Bình Khánh,"TL 943, Phường Bình Khánh, Thành phố Long Xuyên, An Giang",880 triệu,10/05/2021,650m²,,,,,Đã có sổ,Đăng nhập để xem,
309,Đất,Cần bán,Quảng Ninh,Thành phố Uông Bí,Phường Yên Thanh,"Đường Quốc lộ 18A,  phường Yên Thanh, thành phố Uông Bí, Quảng Ninh, Phường Yên Thanh, Thành phố Uông Bí, Quảng Ninh",2 tỷ,10/05/2021,100m²,Bắc,,,,Đã có sổ,Đăng nhập để xem,
310,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 15,"Đường Bến Bình Đông, Phường 15, Quận 8, Tp Hồ Chí Minh","2,05 tỷ",10/05/2021,20m²,,,2,2,,Đăng nhập để xem,
311,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","2,05 tỷ",10/05/2021,59m²,,,2,1,Đang chờ sổ,Đăng nhập để xem,
312,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 8,Phường 6,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","2,9 tỷ",10/05/2021,75m²,,,2,2,Đang chờ sổ,Đăng nhập để xem,
313,Nhà,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,"Đường 339, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","7,9 tỷ",10/05/2021,148m²,Đông Bắc,,3,3,Đã có sổ,Đăng nhập để xem,
314,Nhà,Cho thuê,Hồ Chí Minh,Quận 2,Phường An Phú,"3B, Đường Bùi Tá Hán, Phường An Phú, Quận 2, Tp Hồ Chí Minh",58 triệu/tháng,10/05/2021,500m²,,,4,,Đã có sổ,Đăng nhập để xem,
315,Nhà,Cần bán,Hà Nội,Quận Hà Đông,Phường Kiến Hưng,"Đường Hà Trì 3, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","2,52 tỷ",10/05/2021,33m²,,,4,,Đã có sổ,Đăng nhập để xem,
316,Nhà,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình An,"Đường 39, Phường Bình An, Quận 2, Tp Hồ Chí Minh",35 tỷ,10/05/2021,158m²,,3,4,4,Đã có sổ,Đăng nhập để xem,
317,Đất,Cần bán,Hậu Giang,Huyện Châu Thành,Thị trấn Mái Dầm,"Đường Nam Sông Hậu, Thị trấn Mái Dầm, Huyện Châu Thành, Hậu Giang",750 triệu,10/05/2021,82m²,,,,,Đã có sổ,Đăng nhập để xem,
318,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,"Đường Phạm Thế Hiển, Phường 4, Quận 8, Tp Hồ Chí Minh","1,1 tỷ",10/05/2021,39m²,,,2,2,Đã có sổ,Đăng nhập để xem,
319,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 3,"Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, Tp Hồ Chí Minh","9,8 tỷ",10/05/2021,90m²,,,4,4,Đã có sổ,Đăng nhập để xem,
320,Nhà,Cần bán,Cần Thơ,Huyện Thới Lai,Thị trấn Thới Lai,"Đường Số 10, Thị trấn Thới Lai, Huyện Thới Lai, Cần Thơ","4,15 tỷ",10/05/2021,85m²,,,3,2,Đã có sổ,Đăng nhập để xem,
321,Nhà,Cho thuê,Hồ Chí Minh,Quận Gò Vấp,Phường 10,"thống nhất, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",20 triệu/tháng,10/05/2021,58m²,,,6,5,,Đăng nhập để xem,
322,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,2 tỷ",10/05/2021,120m²,,,3,3,Đã có sổ,Đăng nhập để xem,
323,Đất,Cần bán,Đồng Nai,Huyện Thống Nhất,Xã Lộ 25,"Đường ĐT 769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai",750 triệu,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
324,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Thị trấn Long Thành,"Đường Quốc Lộ 51, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",1 tỷ,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
325,Nhà,Cần bán,Bình Thuận,Thành phố Phan Thiết,Xã Tiến Thành,"Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận, Xã Tiến Thành, Thành phố Phan Thiết, Bình Thuận","5,8 tỷ",10/05/2021,120m²,,,3,3,,Đăng nhập để xem,
326,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Thọ,"Đặng Văn Bi, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",720 triệu,10/05/2021,80m²,,,,,Đã có sổ,Đăng nhập để xem,
327,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Hòa,"Đường Phạm Văn Đồng, Phường Tân Hòa, Thành phố Buôn Ma Thuột, Đắk Lắk","1,18 tỷ",10/05/2021,140m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
328,"Căn hộ, Chung cư",Cần bán,Nghệ An,Thành phố Vinh,Phường Vinh Tân,"Đường Hồ Xuân Hương, Phường Vinh Tân, Thành phố Vinh, Nghệ An",977 triệu,10/05/2021,79m²,,,2,2,Đã có sổ,Đăng nhập để xem,
329,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà B,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,48 tỷ",10/05/2021,32m²,Đông,,2,,Đã có sổ,Đăng nhập để xem,
330,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Trường,"Đường Số 1, Phường Long Trường, Quận 9, Tp Hồ Chí Minh","3,68 tỷ",10/05/2021,88m²,,,,,Đã có sổ,Đăng nhập để xem,
331,Nhà,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lập,"Võ Thị Sáu, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk","1,79 tỷ",10/05/2021,98m²,Tây Nam,1,3,2,Đã có sổ,Đăng nhập để xem,
332,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường 385, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",15 tỷ,10/05/2021,300m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
333,Đất,Cần bán,Bình Dương,Thành phố Thuận An,Phường An Phú,"Đường Liên Huyện, Phường An Phú, Thành phố Thuận An, Bình Dương",835 triệu,10/05/2021,105m²,,,,,Đã có sổ,Đăng nhập để xem,
334,Đất,Cần bán,Bình Dương,Huyện Bắc Tân Uyên,Xã Bình Mỹ,"Đường ĐT 742, Xã Bình Mỹ, Huyện Bắc Tân Uyên, Bình Dương",810 triệu,10/05/2021,80m²,,,,,,Đăng nhập để xem,
335,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã Lộc An,"Đường 769, Xã Lộc An, Huyện Long Thành, Đồng Nai","1,6 tỷ",10/05/2021,110m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
336,Nhà,Cần bán,Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội","3,45 tỷ",10/05/2021,36m²,Đông Nam,6,5,4,Đã có sổ,Đăng nhập để xem,
337,"Căn hộ, Chung cư",Cho thuê,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Lợi,"Đường D2, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương","4,5 triệu/tháng",10/05/2021,42m²,,,1,1,Đã có sổ,Đăng nhập để xem,
338,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"đường số 8, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","5,3 tỷ",10/05/2021,93m²,Tây,,,,Đã có sổ,Đăng nhập để xem,
339,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường Bình Khánh,"116, Đường Lương Định Của, Phường Bình Khánh, Quận 2, Tp Hồ Chí Minh",56 triệu,10/05/2021,82m²,Đông Nam,,2,2,Đang chờ sổ,Đăng nhập để xem,
340,Đất,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Quý Tây,"Đường Hương Lộ 11, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","4,5 tỷ",10/05/2021,300m²,,,,,Đã có sổ,Đăng nhập để xem,
341,Đất,Cần bán,An Giang,Huyện Châu Thành,Xã Vĩnh Bình,"Đường Số 7, Xã Vĩnh Bình, Huyện Châu Thành, An Giang",670 triệu,10/05/2021,84m²,,,,,Đang chờ sổ,Đăng nhập để xem,
342,Đất,Cần bán,Long An,Huyện Cần Đước,Xã Long Cang,"Đường 5, Xã Long Cang, Huyện Cần Đước, Long An","1,5 tỷ",10/05/2021,99m²,,,,,Đã có sổ,Đăng nhập để xem,
343,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,"Đường Nguyễn Cửu Đàm, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",13 tỷ,10/05/2021,90m²,,5,8,,Đã có sổ,Đăng nhập để xem,
344,Đất,Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Tân,"Đường D12, Phường Phú Tân, Thành phố Thủ Dầu Một, Bình Dương","3,45 tỷ",10/05/2021,150m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
345,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","4,7 tỷ",10/05/2021,90m²,,,2,2,Đã có sổ,Đăng nhập để xem,
346,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",900 triệu,10/05/2021,80m²,,,4,2,,Đăng nhập để xem,
347,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"Đường 37, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","8,5 tỷ",10/05/2021,100m²,Nam,,4,4,Đã có sổ,Đăng nhập để xem,
348,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 10,Phường 14,"7A/5, Đường Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh","6,2 triệu/tháng",10/05/2021,30m²,,,1,1,Giấy tờ khác,Đăng nhập để xem,
349,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Tân Hưng,"Đường ĐT753, Xã Tân Hưng, Huyện Đồng Phú, Bình Phước",500 triệu,10/05/2021,175m²,,,,,Đã có sổ,Đăng nhập để xem,
350,Đất,Cần bán,Đồng Nai,Huyện Nhơn Trạch,Xã Đại Phước,"Đường Lý Thái Tổ, Xã Đại Phước, Huyện Nhơn Trạch, Đồng Nai","3,2 tỷ",10/05/2021,140m²,,,,,Đã có sổ,Đăng nhập để xem,
351,Đất,Cần bán,Tây Ninh,Huyện Trảng Bàng,Xã Gia Lộc,"Đường Quốc Lộ 22, Xã Gia Lộc, Huyện Trảng Bàng, Tây Ninh",850 triệu,10/05/2021,275m²,,,,,Đã có sổ,Đăng nhập để xem,
352,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã Sông Trầu,"Sông Trầu, Xã Sông Trầu, Huyện Trảng Bom, Đồng Nai",329 triệu,10/05/2021,125m²,,,,,Giấy tờ khác,Đăng nhập để xem,
353,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 5,"Đường Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","3,6 tỷ",10/05/2021,48m²,,,3,3,Đã có sổ,Đăng nhập để xem,
354,Đất,Cần bán,Cần Thơ,Quận Cái Răng,Phường Phú Thứ,"Đường Võ Nguyên Giáp, Phường Phú Thứ, Quận Cái Răng, Cần Thơ","2,2 tỷ",10/05/2021,84m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
355,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,"Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",1 tỷ,10/05/2021,110m²,,2,2,2,Đã có sổ,Đăng nhập để xem,
356,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Thái Mỹ,"Đường Tỉnh Lộ 7, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh",500 triệu,10/05/2021,540m²,,,,,Đã có sổ,Đăng nhập để xem,
357,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"Đường Hương lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",880 triệu,10/05/2021,44m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
358,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,"87, Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","5,95 tỷ",10/05/2021,52m²,,3,4,5,Đã có sổ,Đăng nhập để xem,
359,Đất,Cần bán,Cần Thơ,Quận Cái Răng,Phường Hưng Thạnh,"Đường Võ Nguyên Giáp, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ","6,5 tỷ",10/05/2021,168m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
360,Đất,Cần bán,Quảng Nam,Thị xã Điện Bàn,Phường Điện Dương,"Đường 7.5m, Phường Điện Dương, Thị xã Điện Bàn, Quảng Nam","2,35 tỷ",10/05/2021,110m²,,,,,Đã có sổ,Đăng nhập để xem,
361,Nhà,Cần bán,Lâm Đồng,Thành phố Đà Lạt,Phường 5,"Đường Nguyễn Đình Quân, Phường 5, Thành phố Đà Lạt, Lâm Đồng","3,15 tỷ",10/05/2021,70m²,Đông Nam,,3,3,Đã có sổ,Đăng nhập để xem,
362,Nhà,Cần bán,Đà Nẵng,Quận Sơn Trà,Phường Nại Hiên Đông,"Đường Trần Hưng Đạo, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",6 tỷ,10/05/2021,144m²,Đông Nam,4,3,4,Đã có sổ,Đăng nhập để xem,
363,Đất,Cần bán,Cần Thơ,Quận Bình Thuỷ,Phường Trà An,"Đường Nguyễn Viết Xuân, Phường Trà An, Quận Bình Thuỷ, Cần Thơ",14 tỷ,10/05/2021,2.000m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
364,Nhà,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,"Đường Hậu Giang, Phường 6, Quận 6, Tp Hồ Chí Minh",5 tỷ,10/05/2021,40m²,Nam,2,2,3,Đã có sổ,Đăng nhập để xem,
365,Nhà,Cần bán,Hà Nội,Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội","4,2 tỷ",10/05/2021,40m²,,5,5,5,Đã có sổ,Đăng nhập để xem,
366,Đất,Cần bán,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Xã Láng Dài,"Đường Quốc Lộ 55, Xã Láng Dài, Huyện Đất Đỏ, Bà Rịa - Vũng Tàu",670 triệu,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
367,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Hưng Thuận,"Đường DN4, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","1,3 tỷ",10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
368,Đất,Cần bán,Long An,Huyện Cần Đước,Xã Long Định,"Đường ĐT 830, Xã Long Định, Huyện Cần Đước, Long An","1,9 tỷ",10/05/2021,214m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
369,Nhà,Cần bán,Long An,Huyện Bến Lức,Xã Thanh Phú,"thanh phu, Xã Thanh Phú, Huyện Bến Lức, Long An","3,8 tỷ",10/05/2021,287m²,Đông Nam,1,5,4,Đã có sổ,Đăng nhập để xem,
370,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã An Viễn,"Trảng Bom - An Viễn, Xã An Viễn, Huyện Trảng Bom, Đồng Nai",319 triệu,10/05/2021,101m²,,,,,Đã có sổ,Đăng nhập để xem,
371,Nhà,Cần bán,Kiên Giang,Thành phố Rạch Giá,Phường Vĩnh Thanh,"Đường Phạm Ngọc Thạch, Phường Vĩnh Thanh, Thành phố Rạch Giá, Kiên Giang","2,2 tỷ",10/05/2021,96m²,,,3,3,Đã có sổ,Đăng nhập để xem,
372,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,"Đường Trần Thái Tông, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","6,95 tỷ",10/05/2021,55m²,Đông Bắc,4,4,5,Đã có sổ,Đăng nhập để xem,
373,Nhà,Cần bán,Hồ Chí Minh,Quận 11,Phường 5,"480, Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh","14,7 tỷ",10/05/2021,53m²,,3,4,,Đã có sổ,Đăng nhập để xem,
374,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"Đường Số 12, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","9,2 tỷ",10/05/2021,100m²,Nam,,,,Đã có sổ,Đăng nhập để xem,
375,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",22 tỷ,10/05/2021,95m²,,,6,6,,Đăng nhập để xem,
376,"Căn hộ, Chung cư",Cần bán,Hà Nội,Quận Tây Hồ,Phường Thụy Khuê,"Đường Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",680 triệu,10/05/2021,30m²,,,1,1,Đã có sổ,Đăng nhập để xem,
377,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,"109/21, Đường Số 4, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","3,49 tỷ",10/05/2021,32m²,,2,3,3,Đã có sổ,Đăng nhập để xem,
378,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Xã Phú An,"DT 744, Xã Phú An, Thị xã Bến Cát, Bình Dương","1,6 tỷ",10/05/2021,142m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
379,Nhà,Cần bán,Sóc Trăng,Huyện Mỹ Tú,Xã Mỹ Tú,"Ấp Phụng Hiệp, Xã Mỹ Tú, Huyện Mỹ Tú, Sóc Trăng","1,4 tỷ",10/05/2021,150m²,,,1,1,Đã có sổ,Đăng nhập để xem,
380,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Cư ÊBur,"Đường Y Moan, Xã Cư ÊBur, Thành phố Buôn Ma Thuột, Đắk Lắk",820 triệu,10/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
381,Nhà,Cho thuê,Hồ Chí Minh,Quận 6,Phường 13,"190/1, Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh","2,7 triệu/tháng",10/05/2021,18m²,Đông Nam,,1,1,,Đăng nhập để xem,
382,Đất,Cần bán,Long An,Huyện Cần Đước,Xã Long Cang,"cho Long can, Xã Long Cang, Huyện Cần Đước, Long An","2,5 tỷ",10/05/2021,245m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
383,Đất,Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp An,"Đường DX 088, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương","3,05 tỷ",10/05/2021,164m²,,,,,Đã có sổ,Đăng nhập để xem,
384,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"Đường Số 38, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","5,15 tỷ",10/05/2021,80m²,,,3,2,Đã có sổ,Đăng nhập để xem,
385,Nhà,Cần bán,Hà Nội,Huyện Thanh Trì,Xã Ngọc Hồi,"Đường Ngọc Hồi, Xã Ngọc Hồi, Huyện Thanh Trì, Hà Nội","2,789 tỷ",10/05/2021,48m²,,4,5,3,Đã có sổ,Đăng nhập để xem,
386,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 2,"2/9, Đường Phạm Cự Lượng, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",15 triệu/tháng,10/05/2021,42m²,Tây,,3,2,Đã có sổ,Đăng nhập để xem,
387,Nhà,Cần bán,Hồ Chí Minh,Quận 4,Phường 3,"Đường Tôn Thất Thuyết, Phường 3, Quận 4, Tp Hồ Chí Minh","3,65 tỷ",10/05/2021,30m²,,,2,2,Đã có sổ,Đăng nhập để xem,
388,Đất,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"17/11, Đường 51, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","4,25 tỷ",10/05/2021,71m²,,,,,Đã có sổ,Đăng nhập để xem,
389,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"Đường Tỉnh Lộ 10, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","4,9 tỷ",10/05/2021,54m²,,,3,3,Đã có sổ,Đăng nhập để xem,
390,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,"Đường Mã Lò, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",950 triệu,10/05/2021,48m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
391,Nhà,Cần bán,Vĩnh Long,Thị xã Bình Minh,Xã Mỹ Hòa,"Đường D5, Xã Mỹ Hòa, Thị xã Bình Minh, Vĩnh Long","1,9 tỷ",10/05/2021,105m²,Tây Nam,2,4,4,Đã có sổ,Đăng nhập để xem,
392,Nhà,Cho thuê,Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Mỹ,"194, Đường Huỳnh Văn Cù, Phường Chánh Mỹ, Thành phố Thủ Dầu Một, Bình Dương",7 triệu/tháng,10/05/2021,96m²,,,2,1,Giấy tờ khác,Đăng nhập để xem,
393,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,"Đường Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,1 tỷ",10/05/2021,50m²,,1,3,3,Đã có sổ,Đăng nhập để xem,
394,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,"28/6, Đường Số 45, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh","2,2 tỷ",10/05/2021,28m²,,,2,1,,Đăng nhập để xem,
395,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 9,Phường Trường Thạnh,"Nguyễn Bỉnh Khiêm, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh",500 triệu,10/05/2021,45m²,,,1,1,Đã có sổ,Đăng nhập để xem,
396,Đất,Cần bán,Cần Thơ,Quận Cái Răng,Phường Lê Bình,"Đường Nhật Tảo, Phường Lê Bình, Quận Cái Răng, Cần Thơ","5,2 tỷ",10/05/2021,85m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
397,Nhà,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 14,"Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Tp Hồ Chí Minh","13,2 tỷ",10/05/2021,75m²,,5,5,,Đã có sổ,Đăng nhập để xem,
398,Đất,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,"Đường 182, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh","9,2 tỷ",10/05/2021,200m²,,,,,Đã có sổ,Đăng nhập để xem,
399,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Xã Hòa Thắng,"Đường Liên Xã, Xã Hòa Thắng, Thành phố Buôn Ma Thuột, Đắk Lắk",550 triệu,10/05/2021,200m²,Bắc,,,,Đã có sổ,Đăng nhập để xem,
400,Đất,Cần bán,Đồng Nai,Huyện Vĩnh Cửu,Xã Thạnh Phú,"Đường Hương Lộ 6, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","1,78 tỷ",10/05/2021,155m²,,,,,Đã có sổ,Đăng nhập để xem,
